ID,Содержание,Дата ввода требования в действие,Реестр НТД,Требование безопасности,ЮИН,Обрабатывается в ЦИМ,Подлежит переводу в МПФ,Передано подрядчику,Комментарии,"Наличие ссылок на другие НД, в которых содержатся требования",Наличие ссылок на Задание на проектирование,Наличие ссылок на другие пункы этого СП,Наличие формул,Упоминание расчетов,Наличие таблиц,Наличие рисунков/диаграмм,Требование носит рекомендательный характер
193364,"<p>4.3 Требования к проектированию котельных с паровыми и водогрейными котлами с давлением пара свыше 0,07 МПа и с температурой воды выше 115 °C приведены в [15].</p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193364,0,0,0,"Наличие ссылок на другие НД, в которых содержатся требования ['[15]']
",1,0,0,0,0,0,0,0
193365,<p>4.4 Проектирование новых и реконструируемых котельных необходимо осуществлять в соответствии с [8] на основании технического задания.</p>,16.01.2022,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193365,0,0,0,"Наличие ссылок на Задание на проектирование ['технического задания']
Наличие ссылок на другие НД, в которых содержатся требования ['[8]']
",1,1,0,0,0,0,0,0
193366,"<p>4.5 Вид топлива и его классификация – основное, резервное или аварийное (при необходимости) определяются техническим заданием в зависимости от категории надежности источника тепла по теплоснабжению.</p><p>При выборе типа топлива должны быть обеспечены мероприятия в соответствии с [1], [2]. При использовании газообразного топлива следует руководствоваться [16].</p><p><br></p>",16.01.2022,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193366,0,0,0,"Наличие ссылок на Задание на проектирование ['техническим заданием']
Наличие ссылок на другие НД, в которых содержатся требования ['[1]', '[2]', '[16]']
Неоднозначная формулировка ['при необходимости']
",1,1,0,0,0,0,0,1
193367,<p>4.6 Котельные по целевому назначению в системе теплоснабжения подразделяют на:</p><p>- центральные – в системе централизованного теплоснабжения;</p><p>- автономные котельные в системе автономного теплоснабжения.</p><p><br></p>,16.01.2022,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193367,0,0,0,,0,0,0,0,0,0,0,0
193368,"<p>4.7 Котельные по назначению подразделяются на:</p><p>- отопительные, генерирующие тепловую энергию для коммунально-бытового теплоснабжения объектов капитального строительства;</p><p>- производственные, генерирующие тепловую энергию для технологического теплоснабжения промышленных объектов;</p><p>- отопительно-производственные, генерирующие тепловую энергию для коммунально-бытового и технологического теплоснабжения.</p><p>Котельные по размещению подразделяются на:</p><p>- отдельно стоящие с тепловыми сетями;</p><p>- интегрированные в здания и сооружения, для теплоснабжения которых они предназначены, без тепловых сетей;</p><p>- наружного размещения в легких съемных ограждающих конструкциях без обслуживания внутреннего пространства.</p><p><br></p>",16.01.2022,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193368,0,0,0,,0,0,0,0,0,0,0,0
193372,"<p>4.8 Потребители теплоты по надежности теплоснабжения делятся на три категории:</p><p>Первая категория – потребители, не допускающие перерывов в подаче расчетного количества теплоты и снижения температуры воздуха в помещении ниже предусмотренных действующими нормативными документами (больницы, родильные дома, детские дошкольные учреждения с круглосуточным пребыванием детей, картинные галереи, химические и специальные производства, шахты и т.п.).</p><p>Вторая категория – потребители, допускающие снижение температуры в отапливаемых помещениях на период ликвидации аварии, но не более 54 ч:</p><p>- жилые и общественные здания – до 12 ?С;</p><p>- промышленные здания – до 8 ?С.</p><p>Третья категория – все остальные потребители.</p><p><br></p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193372,0,0,0,"Неоднозначная формулировка ['т.п.']
",0,0,0,0,0,0,0,1
193373,"<p>4.9 Котельные по надежности отпуска тепловой энергии потребителям подразделяются на котельные первой и второй категорий.</p><p>К первой категории относят котельные, являющиеся единственным источником тепловой энергии системы теплоснабжения, обеспечивающей потребителей первой категории, не имеющей резервных источников тепловой энергии.</p><p>Вторая категория– все остальные котельные.</p><p><br></p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193373,0,0,0,,0,0,0,0,0,0,0,0
193374,"<p>4.10 В котельных с паровыми и пароводогрейными котлами общей установленной тепловой мощностью более 100 МВт рекомендуется установка паровых турбогенераторов малой мощности с напряжением 0,4 кВ с паровыми противодавленческими турбинами для обеспечения покрытия электрических нагрузок собственных нужд котельных и(или) предприятий, на территории которых они находятся. Отработавший пар после турбин может быть использован на технологическое пароснабжение потребителей, для нагрева воды систем теплоснабжения и на собственные нужды котельной.</p><p>В водогрейных котельных, работающих на жидком и газообразном топливе, для этих целей допускается использование газотурбинных или дизельных установок.</p><p><br></p>",16.01.2022,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193374,0,0,0,"Неоднозначная формулировка ['рекомендуется']
['допускается']",0,0,0,0,0,0,0,1
193375,"<p>4.12 Расчетную тепловую мощность котельной определяют как сумму максимальных часовых нагрузок тепловой энергии на отопление, вентиляцию и кондиционирование, средних часовых нагрузок тепловой энергии на горячее водоснабжение и нагрузок тепловой энергии на технологические цели. При определении расчетной мощности котельной следует учитывать также нагрузки тепловой энергии на собственные нужды котельной, потери в котельной и в тепловых сетях системы теплоснабжения.</p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193375,0,0,0,"Упоминание расчетов ['определении расчетной'] 
",0,0,0,0,1,0,0,0
193376,<p>4.13 Расчетные нагрузки тепловой энергии на технологические цели следует принимать по заданию на проектирование с учетом возможности несовпадения максимальных нагрузок тепловой энергии для отдельных технологических потребителей.</p>,17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193376,0,0,0,"Наличие ссылок на Задание на проектирование ['заданию на проектирование']
Неоднозначная формулировка ['с учетом возможности']
",0,1,0,0,0,0,0,1
