ID;Согласовано;Раздел документа;Содержание;Порядковыи? номер;Дата ввода требования в действие;Дата отмены или приостановки требования;Статус требования;Реестр НТД;Вид номера;Раздел реестра;Требование безопасности;Конструктор;Триггер избранного;Создавший пользователь;ЮИН;Изменено;Дата публикации в реестре требований;;
191910;Ложь;;"<p>4.2 При проектировании систем отопления, вентиляции и кондиционирования воздуха зданий следует предусматривать технические решения, обеспечивающие:</p><p>а) требуемые параметры микроклимата и допустимую концентрацию вредных веществ в воздухе обслуживаемой зоны помещений жилых, общественных зданий и сооружений и общественных зданий административного назначения (далее ? общественных зданий), а также административных и бытовых зданий предприятий согласно ГОСТ 30494, СанПиН 2.1.3684, СанПиН 1.2.3685, [6], [7] и требованиям настоящего свода правил;</p><p>б) требуемые параметры микроклимата и концентрацию вредных веществ в воздухе в рабочей зоне производственных, лабораторных и складских (далее – производственных) помещений в зданиях любого назначения согласно ГОСТ 12.1.005, СанПиН 1.2.3685 и требованиям настоящего свода правил;</p><p>в) взрыво- пожаробезопасность систем внутреннего тепло- и холодоснабжения, отопления, вентиляции и кондиционирования воздуха;</p><p>г) допустимые уровни шума и вибраций в зданиях при работе оборудования и систем тепло- и холодоснабжения, отопления, вентиляции и кондиционирования (далее – отопительно-вентиляционного оборудования) согласно СП 51.13330.&nbsp;&nbsp;</p><p>д) требуемое качество воздуха согласно ГОСТ 30494;</p><p>е) заданный класс чистоты воздуха в чистых зонах и помещениях;</p><p>ж) охрану атмосферного воздуха от вентиляционных выбросов вредных веществ;</p><p>и) повышение энергетической эффективности инженерных систем зданий;&nbsp;</p><p>к) сокращение расхода не возобновляемых природных ресурсов при строительстве и эксплуатации;</p><p>л) доступность и ремонтопригодность систем внутреннего тепло- холодоснабжения, отопления, вентиляции и кондиционирования воздуха.&nbsp;</p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify"">	</p><p><br></p>";;20.10.2024;;Проект;Отопление, вентиляция и кондиционирование воздуха. Актуализированная редакция СНиП 41-01-2003  (с Правкой и изменениями №1, №2, №3, № 4);;Требования технических регламентов;"Требование безопасности для здоровья человека условий проживания и пребывания в зданиях и сооружениях; требование безопасности для пользователей зданиями и сооружениями; требование безопасного уровня воздействия зданий и сооружений на окружающую среду";;Ложь;Соколов Сергей Вадимович;191910;Истина;;;
191912;Ложь;;"<p>4.3 Отопительно-вентиляционное оборудование, воздуховоды, трубопроводы, теплоизоляционные конструкции и другие изделия и материалы, используемые в системах внутреннего тепло- холодоснабжения, отопления, вентиляции и кондиционирования воздуха, должны соответствовать требованиям [9].&nbsp;</p>";;01.07.2021;;Проект;Отопление, вентиляция и кондиционирование воздуха. Актуализированная редакция СНиП 41-01-2003  (с Правкой и изменениями №1, №2, №3, № 4);;Требования технических регламентов;"Требование безопасности для здоровья человека условий проживания и пребывания в зданиях и сооружениях; требование безопасности для пользователей зданиями и сооружениями";;Ложь;Соколов Сергей Вадимович;191912;Ложь;;;
191931;Ложь;;"<p class=""ql-align-justify"">5.1 Параметры микроклимата помещений (кроме помещений, для которых они установлены другими нормативными документами) следует принимать по <span style=""color: windowtext;"">ГОСТ 30494</span>, <span style=""color: windowtext;"">ГОСТ 12.1.005</span>, и СанПиН 1.2.3685 для обеспечения температуры воздуха, результирующей температуры помещения, относительной влажности воздуха и скорости движения воздуха в пределах указанных параметров в обслуживаемой или рабочей зонах помещений (на постоянных и непостоянных рабочих местах):</p><p class=""ql-align-justify"">	а) в холодный период года в обслуживаемой зоне жилых помещений – температуру воздуха по оптимальным параметрам ГОСТ 30494;</p><p class=""ql-align-justify"">	б) в холодный период года в обслуживаемой зоне общественных и административно-бытовых зданий или в рабочей зоне производственных помещений – температуру воздуха минимальную из допустимых температур при отсутствии избытков теплоты в помещениях или в пределах допустимых параметров в помещениях с избытками теплоты. В производственных помещениях площадью более 50 м<sup>2</sup> на одного работающего допускается обеспечивать расчетную температуру воздуха только на постоянных рабочих местах и более низкую (но не ниже 10 °C) температуру воздуха на непостоянных рабочих местах;</p><p class=""ql-align-justify"">	в) в теплый период года в обслуживаемой или рабочей зоне общественных, административно-бытовых и производственных помещений при наличии избытков теплоты ? температуру воздуха в пределах допустимых температур, но не более чем на 3 °C для общественных и административно-бытовых помещений и не более чем на 4 °C для производственных помещений выше расчетной температуры наружного воздуха по параметрам А, а при отсутствии избытков теплоты – температуру воздуха в пределах допустимых значений по ГОСТ 30494; в обслуживаемой зоне жилых помещений – температуру воздуха в пределах допустимых значений по ГОСТ 30494; </p><p class=""ql-align-justify"">	г) скорость движения воздуха ? в пределах допустимых значений;</p><p class=""ql-align-justify"">	д) относительная влажность воздуха ? в пределах допустимых значений.</p><p class=""ql-align-justify"">	Если допустимые параметры микроклимата невозможно обеспечивать в рабочей или обслуживаемой зоне по производственным или экономическим условиям, то на постоянных рабочих местах следует предусматривать душирование воздухом с учетом <span style=""color: windowtext;"">5.9</span>, <span style=""color: windowtext;"">7.1.1</span>7 и <span style=""color: windowtext;"">приложения </span>Е, применять охлаждающие или греющие панели, местные кондиционеры, передвижные установки и т.п.</p><p class=""ql-align-justify"">	Параметры микроклимата (или один из параметров) допускается принимать в пределах оптимальных значений вместо допустимых по заданию на проектирование или экономическому обоснованию.</p><p><br></p>";;20.10.2024;;Проект;Отопление, вентиляция и кондиционирование воздуха. Актуализированная редакция СНиП 41-01-2003  (с Правкой и изменениями №1, №2, №3, № 4);;Требования технических регламентов;"Требование безопасности для здоровья человека условий проживания и пребывания в зданиях и сооружениях; требование безопасности для пользователей зданиями и сооружениями; требование безопасного уровня воздействия зданий и сооружений на окружающую среду";;Ложь;Соколов Сергей Вадимович;191931;Истина;;;
191934;Ложь;;"<p>5.2 В холодный период года в помещениях отапливаемых зданий (кроме помещений, для которых параметры воздуха установлены другими нормативными документами), когда они не используются, в нерабочее время и при устранении аварий на системе теплоснабжения, следует поддерживать температуру воздуха не ниже:</p><p>15 °C ? в жилых помещениях;</p><p>12 °C ? в помещениях общественных и административно-бытовых зданий;</p><p>5 °C ? в производственных помещениях.</p><p>К началу работы (использования помещений) температура воздуха в помещениях должна быть восстановлена до нормативной.</p><p>Примечание – Не допускается применение в системах отопления многоквартирных жилых зданий устройств, позволяющих пользователям уменьшать температуру ниже указанной.</p><p>В теплый период года параметры микроклимата не регламентируются в жилых помещениях, а также общественных, административно-бытовых и производственных помещениях в периоды, когда они не используются, и в нерабочее время, при отсутствии технологических требований к температурному режиму помещений.&nbsp;</p><p><br></p>";;01.07.2024;;Проект;Отопление, вентиляция и кондиционирование воздуха. Актуализированная редакция СНиП 41-01-2003  (с Правкой и изменениями №1, №2, №3, № 4);;Требования технических регламентов;"Требование безопасности для здоровья человека условий проживания и пребывания в зданиях и сооружениях; требование безопасности для пользователей зданиями и сооружениями";;Ложь;Соколов Сергей Вадимович;191934;Истина;;;
191936;Ложь;;"<p>5.3 Параметры микроклимата при кондиционировании воздуха помещений (кроме помещений, для которых параметры микроклимата установлены другими нормативными документами или заданием на проектирование) следует предусматривать для обеспечения параметров воздуха в пределах оптимальных значений:</p><p>а) в обслуживаемой зоне жилых, общественных и административно-бытовых помещений ? по ГОСТ 30494–2011 (раздел 4);</p><p>б) в рабочей зоне производственных помещений или отдельных их участков, а также на рабочих местах производственных помещений, на которых выполняются операторские работы, связанные с нервно-эмоциональным напряжением ? по ГОСТ 12.1.005 и СанПиН 1.2.3685.</p><p>Один из параметров микроклимата допускается принимать в пределах допустимых значений вместо оптимальных по заданию на проектирование.&nbsp;</p><p><br></p>";;01.07.2024;;Проект;Отопление, вентиляция и кондиционирование воздуха. Актуализированная редакция СНиП 41-01-2003  (с Правкой и изменениями №1, №2, №3, № 4);;Требования технических регламентов;"Требование безопасности для здоровья человека условий проживания и пребывания в зданиях и сооружениях; требование безопасности для пользователей зданиями и сооружениями";;Ложь;Соколов Сергей Вадимович;191936;Истина;;;
191937;Ложь;;"<p>5.4 Качество воздуха в помещениях жилых и общественных зданий следует обеспечивать согласно ГОСТ 30494 необходимой величиной воздухообмена в помещениях.</p><p>Для дошкольных образовательных организаций, больниц и поликлиник следует принимать оптимальные показатели качества воздуха.</p><p>Для жилых и общественных зданий следует принимать допустимые показатели качества воздуха; оптимальные показатели воздуха для указанных зданий необходимо принимать по заданию на проектирование.&nbsp;</p><p><br></p>";;01.07.2021;;Проект;Отопление, вентиляция и кондиционирование воздуха. Актуализированная редакция СНиП 41-01-2003  (с Правкой и изменениями №1, №2, №3, № 4);;Требования технических регламентов;"Требование безопасности для здоровья человека условий проживания и пребывания в зданиях и сооружениях; требование безопасности для пользователей зданиями и сооружениями";;Ложь;Соколов Сергей Вадимович;191937;Ложь;;;
191940;Ложь;;"<p>5.5 Для производственных помещений с полностью автоматизированным технологическим оборудованием, функционирующим без присутствия людей (кроме дежурного персонала, находящегося в специальном помещении и выходящего в производственное помещение периодически для осмотра и наладки оборудования не более 2 ч непрерывно), при отсутствии технологических требований к температурному режиму помещений температуру воздуха в рабочей зоне следует принимать:</p><p>а) в холодный период года и переходные условия при отсутствии избытков теплоты – плюс 10 °C, а при наличии избытков теплоты ? экономически целесообразную температуру;</p><p>б) в теплый период года при отсутствии избытков теплоты ? равную температуре наружного воздуха (параметры А), а при наличии избытков теплоты ? на 4 °C выше температуры наружного воздуха (параметры А), но не выше 29 °C.</p><p>В местах производства ремонтных (кроме аварийных) работ (продолжительностью 2 ч и более непрерывно) следует обеспечивать передвижными установками параметры воздуха:</p><p>- минимально допустимые в холодный период года согласно ГОСТ 12.1.005;&nbsp;</p><p>- максимально допустимые в теплый период года согласно ГОСТ 12.1.005.&nbsp;</p><p>Относительная влажность и подвижность воздуха в производственных помещениях с полностью автоматизированным технологическим оборудованием при отсутствии специальных требований не регламентируются.&nbsp;</p><p><br></p>";;01.07.2024;;Проект;Отопление, вентиляция и кондиционирование воздуха. Актуализированная редакция СНиП 41-01-2003  (с Правкой и изменениями №1, №2, №3, № 4);;Требования технических регламентов;"Требование механической безопасности; требование безопасности для здоровья человека условий проживания и пребывания в зданиях и сооружениях, требование безопасности для пользователей зданиями и сооружениями";;Ложь;Соколов Сергей Вадимович;191940;Истина;;;
191944;Ложь;;"<p>5.7 Максимальную скорость движения и температуру в струе приточного воздуха при входе в обслуживаемую или рабочую зону (на рабочих местах) помещения следует принимать с учетом допустимых отклонений от требуемых значений по приложениям Д и Е. При размещении воздухораспределителей в пределах обслуживаемой рабочей зоны помещения скорость движения и температура воздуха не регламентируются на расстоянии менее 1 м от воздухораспределителя. При локальной подаче приточного воздуха непосредственно в зону дыхания человека (персональная вентиляция) скорость движения и температура воздуха определяются в соответствии с 5.1.&nbsp;</p>";;01.07.2021;;Проект;Отопление, вентиляция и кондиционирование воздуха. Актуализированная редакция СНиП 41-01-2003  (с Правкой и изменениями №1, №2, №3, № 4);;Требования технических регламентов;"Требование безопасности для здоровья человека условий проживания и пребывания в зданиях и сооружениях; требование безопасности для пользователей зданиями и сооружениями";;Ложь;Соколов Сергей Вадимович;191944;Ложь;;;
191945;Ложь;;"<p class=""ql-align-justify"">5.8	Результирующая температура воздуха в обслуживаемой или рабочей зоне должна быть не менее чем на 1 °C ниже максимально допустимой температуры в холодный период года и не должна быть ниже минимально допустимой температуры в холодный период года более чем на 3 °C для общественных и на 4 °C для производственных помещений.</p><p class=""ql-align-justify"">	При тепловом облучении работающих температура воздуха на рабочих местах не должна превышать: 25 °C – при категории работ Iа; &nbsp;24 °C ? Iб; &nbsp;22 °C ? IIа; &nbsp;21 °C ? IIб; &nbsp;20 °C ? III.</p><p class=""ql-align-justify"">	Для предупреждения неблагоприятного воздействия инфракрасного излучения на организм человека интенсивность теплового облучения при отоплении и обогреве должна быть не выше величин, указанных в СанПиН 1.2.3685:</p><p class=""ql-align-justify"">	15 Вт/м<sup>2</sup> – на поверхности незащищенных участков головы при температуре воздуха, соответствующей нижней границе допустимых величин;</p><p class=""ql-align-justify"">	25 Вт/м<sup>2</sup>&nbsp;– на поверхности туловища, рук и ног человека при температуре воздуха, соответствующей нижней границе оптимальных величин;</p><p class=""ql-align-justify"">	50 Вт/м<sup>2</sup> – на поверхности туловища, рук и ног человека при температуре воздуха, соответствующей нижней границе допустимых величин.</p><p class=""ql-align-justify"">	Максимальная интенсивность инфракрасного облучения поверхности туловища, рук и ног не должна превышать 140 Вт/м<sup>2</sup> на постоянных и 250 Вт/м<sup>2</sup> на непостоянных рабочих местах. При этом облучению не должно подвергаться более 25 % поверхности тела и обязательно применение средств индивидуальной защиты, в том числе средств защиты лица и глаз.</p><p><br></p>";;20.10.2024;;Проект;Отопление, вентиляция и кондиционирование воздуха. Актуализированная редакция СНиП 41-01-2003  (с Правкой и изменениями №1, №2, №3, № 4);;Требования технических регламентов;"Требование безопасности для здоровья человека условий проживания и пребывания в зданиях и сооружениях; требование безопасности для пользователей зданиями и сооружениями";;Ложь;Соколов Сергей Вадимович;191945;Истина;;;
191946;Ложь;;"<p class=""ql-align-justify"">	5.9 В производственных помещениях горячих цехов при облучении с поверхностной плотностью лучистого теплового потока 140 Вт/м<sup>2</sup> и более следует предусматривать охлаждающие панели или душирование рабочих мест воздухом; температуру и скорость движения воздуха на рабочем месте следует принимать по <span style=""color: windowtext;"">приложению </span>Е. В помещениях для отдыха рабочих горячих цехов следует принимать температуру воздуха 20 °C в холодный период года и 23 °C в теплый период года.</p><p class=""ql-align-justify""><br></p>";;01.07.2021;;Проект;Отопление, вентиляция и кондиционирование воздуха. Актуализированная редакция СНиП 41-01-2003  (с Правкой и изменениями №1, №2, №3, № 4);;Требования технических регламентов;"Требование безопасности для здоровья человека условий проживания и пребывания в зданиях и сооружениях; требование безопасности для пользователей зданиями и сооружениями";;Ложь;Соколов Сергей Вадимович;191946;Ложь;;;
